offerId;address;postalCode;route;streetNumber;locality;lng;lat;investmentClass;assetClass;priceEuros;plotAreaSqm;netIncomeYearly;federalState;dealStatus
HG2831;Karl-Marx-Platz 7, 12043 Berlin;12043;Karl-Marx-Platz;7;Berlin;13,44162;52,47395;core;RESIDENTIALANDCOMMERCIAL;4000000;855;0;Berlin;Offer
RL3459;Karl-Marx-Stra·e 13, 03044 Cottbus;03044;Karl-Marx-Stra·e;13;Cottbus;14,32647;51,76308;core;DORMITORY;17000000;0;900000;Brandenburg;Offer
GW8489;Am Seestern 16, 40547 DÅsseldorf;40547;Am Seestern;16;DÅsseldorf;6,73857;51,24233;core;HOTEL;56000000;0;2800000;Nordrhein-Westfalen;Offer
CI1483;Kienhorststra·e 151, 13403 Berlin;13403;Kienhorststra·e;151;Berlin;13,31542;52,57441;core;APPARTMENTBUILDING;5800000;2351;0;Berlin;Offer
SF4933;Waldhornstra·e 3, 41239 Mînchengladbach;41239;Waldhornstra·e;3;Mînchengladbach;6,41453;51,15979;core;APPARTMENTBUILDING;4900000;4590;0;Nordrhein-Westfalen;Offer
ZE5068;Herforder Stra·e 28, 32545 Bad Oeynhausen;32545;Herforder Stra·e;28;Bad Oeynhausen;8,78838;52,20167;core;RESIDENTIALANDCOMMERCIAL;1900000;990;0;Nordrhein-Westfalen;Offer
EN3648;Langenscheidtstra·e 4, 10827 Berlin;10827;Langenscheidtstra·e;4;Berlin;13,36132;52,48963;core;RESIDENTIALANDCOMMERCIAL;6750000;0;0;Berlin;Offer
XK1065;Landsberger Allee 65, 10249 Berlin;10249;Landsberger Allee;65;Berlin;13,4444;52,52561;valueadded;APPARTMENTBUILDING;22000000;1468;0;Berlin;Offer
GK8119;Paracelsusstra·e 12, 09114 Chemnitz;09114;Paracelsusstra·e;12;Chemnitz;12,89223;50,85314;development;OFFICEBUILDING;39895000;15850;0;Sachsen;Offer
JV5918;Friedrich-Ebert-Stra·e 76, 14469 Potsdam;14469;Friedrich-Ebert-Stra·e;76;Potsdam;13,05813;52,40617;core;RESIDENTIALANDCOMMERCIAL;1900000;820;0;Brandenburg;LOI & Exclusivity
VX0027;GrÅner Weg 5, 14109 Berlin;14109;GrÅner Weg;5;Berlin;13,14658;52,41261;notassigned;BUILDINGPLOT;12000000;4268;0;Berlin;Offer
GM4957;Eduard-Grunow-Stra·e 24A, 28203 Bremen;28203;Eduard-Grunow-Stra·e;24A;Bremen;8,82153;53,07754;core;RESIDENTIALANDCOMMERCIAL;19800000;0;0;Bremen;Offer
